7zip 25.01-1
haskell-unliftio-core 0.2.1.0-3
haskell-unordered-containers 0.2.20-99
haskell-utf8-string 1.0.2-203
haskell-uuid-types 1.0.6-64
haskell-vault 0.3.1.5-245
haskell-vector 0.13.2.0-89
haskell-vector-algorithms 0.9.1.0-61
haskell-vector-stream 0.1.0.1-3
haskell-wai 3.2.4-95
haskell-wai-app-static 3.1.9-150
haskell-wai-cors 0.2.7-431
haskell-wai-extra 3.1.17-59
haskell-wai-logger 2.5.0-81
haskell-warp 3.3.30-181
haskell-witherable 0.4.2-178
haskell-word8 0.1.3-24
haskell-xml 1.3.14-32
haskell-xml-conduit 1.9.1.4-85
haskell-xml-types 0.3.8-10
haskell-yaml 0.11.11.2-143
haskell-zip-archive 0.4.3.2-52
haskell-zlib 0.7.0.0-15
hicolor-icon-theme 0.18-1
hslua-cli 1.4.3-28
htop 3.4.1-1
hwdata 0.398-1
hwloc 2.12.1-1
iana-etc 20250612-1
icu 76.1-1
ijs 0.35-6
inetutils 2.6-1
iproute2 6.16.0-2
iptables 1:1.8.11-2
iputils 20250605-1
jansson 2.14.1-1
jbig2dec 0.20-1
jbigkit 2.1-8
json-c 0.18-2
jsoncpp 1.9.6-3
kbd 2.8.0-1
keyutils 1.6.3-3
kmod 34.2-1
krb5 1.21.3-2
lcms2 2.17-1
leancrypto 1.5.1-1
less 1:679-1
libarchive 3.8.1-1
libassuan 3.0.0-1
libavif 1.3.0-1
libbpf 1.5.1-1
libc++ 20.1.6-2
libc++abi 20.1.6-2
libcap 2.76-1
libcap-ng 0.8.5-3
libcups 2:2.4.12-2
libdaemon 0.14-6
libde265 1.0.16-1
libedit 20250104_3.1-1
libelf 0.193-5
libevent 2.1.12-4
libfabric 2.2.0-1
libffi 3.5.1-1
libgcrypt 1.11.2-1
libgpg-error 1.55-1
libheif 1.20.2-1
libice 1.1.2-1
libidn 1.43-1
libidn2 2.3.7-1
libisl 0.27-1
libjpeg-turbo 3.1.1-1
libksba 1.6.7-2
libldap 2.6.10-2
libmicrohttpd 1.0.2-1
libmnl 1.0.5-2
libmpc 1.3.1-2
libnetfilter_conntrack 1.0.9-2
libnfnetlink 1.0.2-2
libnftnl 1.3.0-1
libnghttp2 1.66.0-1
libnghttp3 1.11.0-1
libngtcp2 1.13.0-2
libnl 3.11.0-1
libnsl 2.0.1-1
libp11-kit 0.25.5-1
libpaper 2.2.6-1
libpcap 1.10.5-3
libpciaccess 0.18.1-2
libpfm 4.13.0+r83+g91970fe-1
libpng 1.6.50-1
libpsl 0.21.5-2
libsasl 2.1.28-5
libseccomp 2.5.6-1
libsecret 0.21.7-1
libsigsegv 2.15-1
libsm 1.2.6-1
libssh2 1.11.1-1
libsynctex 2025.2-2
libsysprof-capture 48.0-7
libtasn1 4.20.0-1
libtiff 4.7.0-1
libtirpc 1.3.6-2
libtool 2.5.4+r62+g6389dce8-1
libtraceevent 1:1.8.4-1
libunistring 1.3-1
libunwind 1.8.2-1
libusb 1.0.29-1
libuv 1.51.0-1
libverto 0.3.2-5
libwebp 1.6.0-1
libx11 1.8.12-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcrypt 4.4.38-1
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxml2 2.14.5-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxrender 0.9.12-1
libxt 1.3.1-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
licenses 20240728-1
linux-api-headers 6.16-1
lld 20.1.8-1
lldb 20.1.8-1
llvm 20.1.8-1
llvm-libs 20.1.8-1
lmdb 0.9.33-1
lua 5.4.8-2
lua-lpeg 1.1.0-4
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
make 4.4.1-2
mpdecimal 4.0.1-1
mpfr 4.2.2-1
ncurses 6.5-4
nettle 3.10.2-1
ninja 1.12.1-2
nodejs 24.6.0-1
npth 1.8-1
numactl 2.0.19-1
openblas 0.3.30-1
openh264 2.6.0-1
openjpeg2 2.5.3-1
openmpi 5.0.8-2
openpmix 5.0.8-1
openssh 10.0p1-4
openssl 3.5.2-1
openucx 1.19.0-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-6
pacman-mirrorlist 20250702-2
pam 1.7.1-1
pambase 20250719-1
pandoc-cli 3.1.12.2-12
patch 2.8-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.45-1
perf 6.16-1
perl 5.42.0-1
perl-error 0.17030-2
perl-mailtools 2.22-2
perl-timedate 2.33-8
pinentry 1.3.2-1
pixman 0.46.4-1
pkgconf 2.5.1-1
polly 20.1.6-1
poppler-data 0.4.12-2
popt 1.19-2
potrace 1.16-3
procps-ng 4.0.5-3
prrte 3.0.11-1
psmisc 23.7-1
python 3.13.7-1
python-acme 4.2.0-1
python-attrs 25.3.0-1
python-cffi 1.17.1-2
python-charset-normalizer 3.4.3-1
python-configargparse 1.5.5-3
python-configobj 5.0.9-5
python-cryptography 45.0.6-1
python-distro 1.9.0-3
python-filelock 3.19.1-1
python-idna 3.10-2
python-josepy 2.1.0-1
python-packaging 25.0-1
python-parsedatetime 2.6-10
python-pip 25.2-1
python-pycparser 2.22-3
python-pyopenssl 25.1.0-1
python-pyrfc3339 1.1-14
python-pytz 2025.2-1
python-requests 2.32.5-1
python-urllib3 2.5.0-1
python-wheel 0.45.1-1
rav1e 0.7.1-1
readline 8.3.001-1
rhash 1.4.4-1
sed 4.9-3
shadow 4.18.0-1
shared-mime-info 2.4-2
simdjson 1:3.13.0-1
slang 2.3.3-4
source-highlight 3.1.9-15
spdlog 1.15.3-1
sqlite 3.50.4-1
strace 6.16-1
sudo 1.9.17.p1-1
svt-av1 3.1.0-1
systemd 257.8-2
systemd-libs 257.8-2
systemd-sysvcompat 257.8-2
tar 1.35-2
texinfo 7.2-1
texlive-basic 2025.2-2
texlive-bin 2025.2-2
texlive-fontsrecommended 2025.2-2
texlive-latex 2025.2-2
texlive-latexrecommended 2025.2-2
texlive-mathscience 2025.2-2
tpm2-tss 4.1.3-1
tree 2.2.1-1
ttf-liberation 2.1.5-2
tzdata 2025b-1
util-linux 2.41.1-1
util-linux-libs 2.41.1-1
valgrind 3.25.1-3
vim 9.1.1623-1
vim-runtime 9.1.1623-1
wget 1.25.0-2
which 2.23-1
woff2 1.0.2-6
x265 4.1-1
xcb-proto 1.17.0-3
xorgproto 2024.1-2
xxhash 0.8.3-1
xz 5.8.1-1
zlib 1:1.3.1-2
zlib-ng 2.2.5-1
zstd 1.5.7-2
zziplib 0.13.80-1
